0.3,10,60,10,0.044074767,0.873937938
0.3,5,60,10,0.072458094,0.974787588
0.3,1,60,10,0.044814633,0.911756556
0.3,10,45.56,10,0.070679788,0.949575175
0.3,5,45.56,10,0.068254757,0.936968969
0.3,1,45.56,10,0.071656544,0.911756556
0.3,10,17.5,10,0.084202758,0.936968969
0.3,5,17.5,10,0.067237881,0.936968969
0.3,1,17.5,10,0.06071979,0.861331732
0.05,10,60,10,0.08944575,0.949575175
0.05,5,60,10,0.082570491,0.962181381
0.05,1,60,10,0.062971908,0.911756556
0.05,10,45.56,10,0.065116367,0.924362763
0.05,5,45.56,10,0.056607997,0.89915035
0.05,1,45.56,10,0.069882729,0.89915035
0.05,10,17.5,10,0.068398559,0.836119319
0.05,5,17.5,10,0.062144616,0.949575175
0.05,1,17.5,10,0.092421379,0.962181381
0.001,10,60,10,0.087937509,0.936968969
0.001,5,60,10,0.08890198,0.949575175
0.001,1,60,10,0.071942799,0.936968969
0.001,10,45.56,10,0.065308904,0.962181381
0.001,5,45.56,10,0.087054182,0.911756556
0.001,1,45.56,10,0.078993763,0.962181381
0.001,10,17.5,10,0.077127656,0.962181381
0.001,5,17.5,10,0.082233213,0.911756556
0.001,1,17.5,10,0.069697548,0.924362763
0.3,10,60,5,0.0882,0.94
0.3,5,60,5,0.065,0.927
0.3,1,60,5,0.0609,0.874
0.3,10,45.56,5,0.0726,0.896
0.3,5,45.56,5,0.087,0.94
0.3,1,45.56,5,0.0622,0.89
0.3,10,17.5,5,0.0879,0.934
0.3,5,17.5,5,0.1,0.946
0.3,1,17.5,5,0.096,0.934
0.05,10,60,5,0.29,0.8
0.05,5,60,5,0.186,0.72
0.05,1,60,5,0.0816,0.855
0.05,10,45.56,5,0.337,0.786
0.05,5,45.56,5,0.2,0.72
0.05,1,45.56,5,0.0712,0.899
0.05,10,17.5,5,0.17,0.68
0.05,5,17.5,5,0.114,0.69
0.05,1,17.5,5,0.0775,0.946
0.001,10,60,5,0.596,0.97
0.001,5,60,5,0.606,0.966
0.001,1,60,5,0.634,0.94
0.001,10,45.56,5,0.65,0.966
0.001,5,45.56,5,0.713,0.97
0.001,1,45.56,5,0.62,0.933
0.001,10,17.5,5,0.745,0.98
0.001,5,17.5,5,0.622,0.961
0.001,1,17.5,5,0.65,0.939
0.3,10,60,3,0.0692,0.9069
0.3,5,60,3,0.0716,0.919
0.3,1,60,3,0.0959,0.954
0.3,10,45.56,3,0.0528,0.837
0.3,5,45.56,3,0.09,0.951
0.3,1,45.56,3,0.0837,0.938
0.3,10,17.5,3,0.0667,0.922
0.3,5,17.5,3,0.0952,0.947
0.3,1,17.5,3,0.0959,0.933
0.05,10,60,3,0.558,0.922
0.05,5,60,3,0.455,0.88
0.05,1,60,3,0.187,0.82
0.05,10,45.56,3,0.626,0.923
0.05,5,45.56,3,0.4,0.888
0.05,1,45.56,3,0.156,0.732
0.05,10,17.5,3,0.428,0.894
0.05,5,17.5,3,0.337,0.844
0.05,1,17.5,3,0.0888,0.944
0.001,10,60,3,0.83,0.985
0.001,5,60,3,0.803,0.98
0.001,1,60,3,0.785,0.95
0.001,10,45.56,3,0.769,0.979
0.001,5,45.56,3,0.78,0.979
0.001,1,45.56,3,0.769,0.955
0.001,10,17.5,3,0.839,0.986
0.001,5,17.5,3,0.797,0.979
0.001,1,17.5,3,0.78,0.948
