0.3,10,60,10,0.873937938
0.3,5,60,10,0.974787588
0.3,1,60,10,0.911756556
0.3,10,45.56,10,0.949575175
0.3,5,45.56,10,0.936968969
0.3,1,45.56,10,0.911756556
0.3,10,17.5,10,0.936968969
0.3,5,17.5,10,0.936968969
0.3,1,17.5,10,0.861331732
0.05,10,60,10,0.949575175
0.05,5,60,10,0.962181381
0.05,1,60,10,0.911756556
0.05,10,45.56,10,0.924362763
0.05,5,45.56,10,0.89915035
0.05,1,45.56,10,0.89915035
0.05,10,17.5,10,0.836119319
0.05,5,17.5,10,0.949575175
0.05,1,17.5,10,0.962181381
0.001,10,60,10,0.936968969
0.001,5,60,10,0.949575175
0.001,1,60,10,0.936968969
0.001,10,45.56,10,0.962181381
0.001,5,45.56,10,0.911756556
0.001,1,45.56,10,0.962181381
0.001,10,17.5,10,0.962181381
0.001,5,17.5,10,0.911756556
0.001,1,17.5,10,0.924362763
0.3,10,60,5,0.94
0.3,5,60,5,0.927
0.3,1,60,5,0.874
0.3,10,45.56,5,0.896
0.3,5,45.56,5,0.94
0.3,1,45.56,5,0.89
0.3,10,17.5,5,0.934
0.3,5,17.5,5,0.946
0.3,1,17.5,5,0.934
0.05,10,60,5,0.8
0.05,5,60,5,0.72
0.05,1,60,5,0.855
0.05,10,45.56,5,0.786
0.05,5,45.56,5,0.72
0.05,1,45.56,5,0.899
0.05,10,17.5,5,0.68
0.05,5,17.5,5,0.69
0.05,1,17.5,5,0.946
0.001,10,60,5,0.97
0.001,5,60,5,0.966
0.001,1,60,5,0.94
0.001,10,45.56,5,0.966
0.001,5,45.56,5,0.97
0.001,1,45.56,5,0.933
0.001,10,17.5,5,0.98
0.001,5,17.5,5,0.961
0.001,1,17.5,5,0.939
0.3,10,60,3,0.9069
0.3,5,60,3,0.919
0.3,1,60,3,0.954
0.3,10,45.56,3,0.837
0.3,5,45.56,3,0.951
0.3,1,45.56,3,0.938
0.3,10,17.5,3,0.922
0.3,5,17.5,3,0.947
0.3,1,17.5,3,0.933
0.05,10,60,3,0.922
0.05,5,60,3,0.88
0.05,1,60,3,0.82
0.05,10,45.56,3,0.923
0.05,5,45.56,3,0.888
0.05,1,45.56,3,0.732
0.05,10,17.5,3,0.894
0.05,5,17.5,3,0.844
0.05,1,17.5,3,0.944
0.001,10,60,3,0.985
0.001,5,60,3,0.98
0.001,1,60,3,0.95
0.001,10,45.56,3,0.979
0.001,5,45.56,3,0.979
0.001,1,45.56,3,0.955
0.001,10,17.5,3,0.986
0.001,5,17.5,3,0.979
0.001,1,17.5,3,0.948
