0.3,10,60,5,1.96
0.3,5,60,5,1.89
0.3,1,60,5,2.29
0.3,10,45.56,5,1.87
0.3,5,45.56,5,2.027
0.3,1,45.56,5,2.07
0.3,10,17.5,5,2.7
0.3,5,17.5,5,1.56
0.3,1,17.5,5,1.51
0.05,10,60,5,1.79
0.05,5,60,5,1.87
0.05,1,60,5,2.16
0.05,10,45.56,5,1.88
0.05,5,45.56,5,1.87
0.05,1,45.56,5,2.17
0.05,10,17.5,5,1.828
0.05,5,17.5,5,1.915
0.05,1,17.5,5,2.22
0.001,10,60,5,0.206
0.001,5,60,5,0.195
0.001,1,60,5,0.61
0.001,10,45.56,5,0.209
0.001,5,45.56,5,0.184
0.001,1,45.56,5,0.63
0.001,10,17.5,5,0.2
0.001,5,17.5,5,0.244
0.001,1,17.5,5,0.744
0.3,10,60,3,2.397
0.3,5,60,3,2.023
0.3,1,60,3,2.11
0.3,10,45.56,3,2.088
0.3,5,45.56,3,2.095
0.3,1,45.56,3,2.431
0.3,10,17.5,3,1.78
0.3,5,17.5,3,1.63
0.3,1,17.5,3,1.189
0.05,10,60,3,1.7354
0.05,5,60,3,2.18
0.05,1,60,3,2.264
0.05,10,45.56,3,1.905
0.05,5,45.56,3,2.0447
0.05,1,45.56,3,2.0288
0.05,10,17.5,3,2.1084
0.05,5,17.5,3,2.2238
0.05,1,17.5,3,2.2207
0.001,10,60,3,0.2254
0.001,5,60,3,0.2503
0.001,1,60,3,0.565
0.001,10,45.56,3,0.232
0.001,5,45.56,3,0.240963855
0.001,1,45.56,3,0.574585635
0.001,10,17.5,3,0.2375
0.001,5,17.5,3,0.3011
0.001,1,17.5,3,0.728
