0.3,10,60,5,0.24
0.3,5,60,5,0.2
0.3,1,60,5,0.254
0.3,10,45.56,5,0.248
0.3,5,45.56,5,0.26
0.3,1,45.56,5,0.248
0.3,10,17.5,5,0.14
0.3,5,17.5,5,0.05
0.3,1,17.5,5,0.087
0.05,10,60,5,0.357
0.05,5,60,5,0.212
0.05,1,60,5,0.256
0.05,10,45.56,5,0.47
0.05,5,45.56,5,0.26
0.05,1,45.56,5,0.215
0.05,10,17.5,5,0.23
0.05,5,17.5,5,0.22
0.05,1,17.5,5,0.23
0.001,10,60,5,0.065
0.001,5,60,5,0.065
0.001,1,60,5,0.253
0.001,10,45.56,5,0.048
0.001,5,45.56,5,0.063
0.001,1,45.56,5,0.23
0.001,10,17.5,5,0.0569
0.001,5,17.5,5,0.077
0.001,1,17.5,5,0.254
0.3,10,60,3,0.2613
0.3,5,60,3,0.124
0.3,1,60,3,0.202
0.3,10,45.56,3,0.21
0.3,5,45.56,3,0.161
0.3,1,45.56,3,0.19
0.3,10,17.5,3,0.0825
0.3,5,17.5,3,0.09
0.3,1,17.5,3,0.075
0.05,10,60,3,0.2715
0.05,5,60,3,0.3375
0.05,1,60,3,0.2025
0.05,10,45.56,3,0.3
0.05,5,45.56,3,0.218
0.05,1,45.56,3,0.131
0.05,10,17.5,3,0.24
0.05,5,17.5,3,0.1725
0.05,1,17.5,3,0.144
0.001,10,60,3,0.0595
0.001,5,60,3,0.0956
0.001,1,60,3,0.278
0.001,10,45.56,3,0.077
0.001,5,45.56,3,0.12
0.001,1,45.56,3,0.328
0.001,10,17.5,3,0.1339
0.001,5,17.5,3,0.22
0.001,1,17.5,3,0.327
